representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
mpnet_qubric,outcome,2129,2,0.834304803541377,0.8149714365679728,0.8530199501683912,0.5,0.8403006106153124,0.5937059652418976
mpnet_raw,system,2129,107,0.6831529758976882,0.662963820611865,0.7032512522142814,0.009345794392523364,0.683419445749178,0.009394081728511038
mpnet_raw,model,1191,36,0.7356226647728089,0.7107662095052446,0.7599085189389315,0.027777777777777776,0.6137699412258606,0.18387909319899245
mpnet_raw,vendor,1591,8,0.7570488062922377,0.7269352069384306,0.7842747511331165,0.125,0.6725329981143935,0.6115650534255186
mpnet_raw,harness,2069,61,0.8150836513859115,0.7998142871784403,0.8300121756748426,0.01639344262295082,0.8250362493958434,0.07733204446592556
mpnet_raw,task,2129,20,0.9290375847041339,0.9021179460623145,0.9540701656532729,0.05,0.9290746829497417,0.050258337247534056
mpnet_raw,outcome,2129,2,0.7716904770615352,0.75111427502452,0.7909282243662167,0.5,0.7811178957256928,0.5937059652418976
minilm_qubric,system,2129,107,0.11030496802754551,0.0924942613543204,0.12874110469733066,0.009345794392523364,0.10991075622357914,0.009394081728511038
minilm_qubric,model,1191,36,0.18259914833379745,0.16305539993314117,0.20079977099270507,0.027777777777777776,0.13685978169605373,0.18387909319899245
minilm_qubric,vendor,1591,8,0.30673032871969375,0.2777597657392192,0.33889444801304164,0.125,0.1816467630421119,0.6115650534255186
minilm_qubric,harness,2069,61,0.1636585926509038,0.13615181396113235,0.19211854072163448,0.01639344262295082,0.12566457225712904,0.07733204446592556
minilm_qubric,task,2129,20,0.9864132470127887,0.981472894966614,0.9910792766776678,0.05,0.986378581493659,0.050258337247534056
minilm_qubric,outcome,2129,2,0.8238988073461623,0.8012025507804782,0.8474705229470302,0.5,0.8290277125410991,0.5937059652418976
minilm_raw,system,2129,107,0.7046182434278844,0.6857801182450354,0.7256452560529049,0.009345794392523364,0.7040864255519023,0.009394081728511038
minilm_raw,model,1191,36,0.7609919307107483,0.7333069757579931,0.7880528024606972,0.027777777777777776,0.6599496221662469,0.18387909319899245
minilm_raw,vendor,1591,8,0.7541103487361698,0.7160404920763446,0.7888899862535218,0.125,0.7014456316781899,0.6115650534255186
minilm_raw,harness,2069,61,0.8568010453978963,0.8402483153715247,0.8732802259545411,0.01639344262295082,0.8564523924601256,0.07733204446592556
minilm_raw,task,2129,20,0.9125807995566417,0.8847971717378571,0.9385440693104817,0.05,0.9126350399248473,0.050258337247534056
minilm_raw,outcome,2129,2,0.7458906490085608,0.7246900183353391,0.7680943994168903,0.5,0.7576326914044152,0.5937059652418976
